,shop_name,review,stars
0,The Factory - Cafe With a Soul,""" 11/25/2016 1 check-in Love love loved the atmosphere! Every corner of the coffee shop had its own style",and there were swings!!! I ordered the matcha latte
1,The Factory - Cafe With a Soul,""" 12/2/2016 Listed in Date Night: Austin",Ambiance in Austin BEAUTIFUL!!!! Love the ambiance! Instagram-worthy!!!  Definitely $$$
2,The Factory - Cafe With a Soul,""" 11/30/2016 1 check-in Listed in Brunch Spots I loved the eclectic and homey plush decor and who doesn't want to swing and drink their coffee?  I would categorize this as a pricier coffee place but",to me it was worth it.  After Thanksgiving nobody wants to make brunch so we headed out in search of chicken and waffles.  There is ample parking in the private lot and  ordering is done through I-Pads.  Pick a seat and they will call your name when your items are ready.  Be patient because some of the coffee drinks take longer than others.  I had the cold brew coffee
3,The Factory - Cafe With a Soul,11/25/2016 Very cool decor! Good drinks Nice seating  However...  Just about everything is overpriced. $1.50 extra for 3 ounces of Almond Milk in a cortado. No WiFi Music is a bit loud and the mix is odd.  Pleasant French oldies followed by loud techno. Several tables were dirty when we got there. Service is average.  It feels like a Los Angeles coffee shot that is out of place.,2.0 star rating
4,The Factory - Cafe With a Soul,""" 12/3/2016 1 check-in They are located within the Northcross mall shopping center facing east toward Burnet Rd with plenty of parking. I loved their computerized user friendly ordering system",it made it easy me to pick & choose all the items I wanted to try. I ordered pop tart
5,The Factory - Cafe With a Soul,""" 11/20/2016 1 check-in Very cute cafe! I think from the moment I stepped in",there really wasn't anything I didn't find cute at The Factory. From their decor to their cups
6,The Factory - Cafe With a Soul,""" 10/27/2016 2 check-ins Listed in """"Nuptial Coffee Bliss!""""",Anderson Lane is the new Black Oh hey
7,The Factory - Cafe With a Soul,""" 11/2/2016 2 check-ins Love this place!  5 stars for cleanliness 5 stars for fun ambiance/ open space 5 stars for ample seating and comfort 5 stars for convenient parking 5 stars for attentive employees and fast service  I am definitely a fan Cafe w/ a Soul. I finally found a coffee shop I can study at without sacrificing comfort (Starbucks' uncomfortable chairs). The coffee shop endorses social connection",hence
8,The Factory - Cafe With a Soul,""" 10/25/2016 1 check-in Ok",let's try this approach...  Pros: Music Seating Decor General ambiance Service  Cons: iPad ordering (I'm a crotchety old man
9,The Factory - Cafe With a Soul,11/10/2016 3 check-ins This place has been shown on my social media for days so i finally visited! One of THE cutest and artistic looking coffeeshops I have ever visited. You can self order which is nice because you can take your time and look at the pictures to help you decide! I especially liked how pictures were shown so I knew which coffee/tea came out aesthetically  I ordered the famous matcha green latte and i dont usually drink coffee but it went beyond my expectations. They give you a good amount and its creamy and sweet. Only downside is no wifi.. So hard to study here. Matcha green tea and living la vida mocha Matcha green tea latte Interior design See all photos from Sarah L. for The Factory - Cafe With a Soul,5.0 star rating
10,The Factory - Cafe With a Soul,""" 10/22/2016 1 check-in Listed in Americano This is not your average cute study spot cafe.  Location/ Atmosphere: + Easy parking at the lot + Cute and classy interior decor! + Plenty of seats available (couches",swings
11,The Factory - Cafe With a Soul,""" 11/20/2016 The store has A+ decoration",but honestly
12,The Factory - Cafe With a Soul,""" 11/17/2016 1 check-in Listed in 2016 - The Third Time is a Charm! The Factory has A+ decor and a very innovative interactionless (tablet) ordering system. This allows you to look up what to get without feeling pressured by a barista staring at you waiting for you to order. The eclectic selection of tables",couches
13,The Factory - Cafe With a Soul,12/5/2016 This is such a cute little cafe! I've driven by this place many times and hadn't noticed it until today. Glad I stopped-the famous chicken waffle was delish!,5.0 star rating
14,The Factory - Cafe With a Soul,""" 11/13/2016 Beautiful eccentric coffee shop with a library of peculiar books.  Swings",couches
